1,32,4,28,112,28,112,1,1548318
1,32,4,29,112,29,112,1,1603588
1,32,4,30,112,30,112,1,1658868
1,32,4,31,112,31,112,1,1714133
1,32,4,32,112,32,112,1,1769416
1,32,4,33,112,33,112,1,1824695
1,32,4,34,112,34,112,1,1879975
1,32,4,35,112,35,112,1,1935254
1,32,4,36,112,36,112,1,1990531
1,32,4,37,112,37,112,1,2045811
1,32,4,38,112,38,112,1,2101093
1,32,4,112,28,112,28,1,1561749
1,32,4,112,29,112,29,1,1616869
1,32,4,112,30,112,30,1,1671990
1,32,4,112,31,112,31,1,1727095
1,32,4,112,32,112,32,1,1782215
1,32,4,112,33,112,33,1,1837333
1,32,4,112,34,112,34,1,1892454
1,32,4,112,35,112,35,1,1947575
1,32,4,112,36,112,36,1,2002697
1,32,4,112,37,112,37,1,2057816
1,32,4,112,38,112,38,1,2112938
1,32,4,56,56,56,56,1,1552791
1,32,4,57,57,57,57,1,1608559
1,32,4,58,58,58,58,1,1665321
1,32,4,59,59,59,59,1,1723055
1,32,4,60,60,60,60,1,1781769
1,32,4,61,61,61,61,1,1841468
1,32,4,62,62,62,62,1,1902166
1,32,4,63,63,63,63,1,1963834
1,32,4,64,64,64,64,1,2026505
1,32,4,65,65,65,65,1,2090140
1,32,4,66,66,66,66,1,2154777
1,32,1,112,112,112,112,1,1549253
1,32,8,28,112,28,112,1,3095984
1,32,8,29,112,29,112,1,3206533
1,32,8,30,112,30,112,1,3317076
1,32,8,31,112,31,112,1,3427605
1,32,8,32,112,32,112,1,3538152
1,32,8,33,112,33,112,1,3648692
1,32,8,34,112,34,112,1,3759237
1,32,8,35,112,35,112,1,3869781
1,32,8,36,112,36,112,1,3980326
1,32,8,37,112,37,112,1,4090871
1,32,8,38,112,38,112,1,4201414
1,32,8,112,28,112,28,1,3122868
1,32,8,112,29,112,29,1,3233092
1,32,8,112,30,112,30,1,3343319
1,32,8,112,31,112,31,1,3453525
1,32,8,112,32,112,32,1,3563751
1,32,8,112,33,112,33,1,3673972
1,32,8,112,34,112,34,1,3784200
1,32,8,112,35,112,35,1,3894418
1,32,8,112,36,112,36,1,4004645
1,32,8,112,37,112,37,1,4114864
1,32,8,112,38,112,38,1,4225089
1,32,8,56,56,56,56,1,3104946
1,32,8,57,57,57,57,1,3216466
1,32,8,58,58,58,58,1,3329976
1,32,8,59,59,59,59,1,3445418
1,32,8,60,60,60,60,1,3562841
1,32,8,61,61,61,61,1,3682234
1,32,8,62,62,62,62,1,3803609
1,32,8,63,63,63,63,1,3926938
1,32,8,64,64,64,64,1,4052249
1,32,8,65,65,65,65,1,4179515
1,32,8,66,66,66,66,1,4308761
1,32,2,112,112,112,112,1,3096725
1,64,8,14,56,14,56,1,996607
1,64,8,15,56,15,56,1,1067741
1,64,8,16,56,16,56,1,1138896
1,64,8,17,56,17,56,1,1210026
1,64,8,18,56,18,56,1,1281152
1,64,8,19,56,19,56,1,1352284
1,64,8,20,56,20,56,1,1423416
1,64,8,21,56,21,56,1,1494522
1,64,8,22,56,22,56,1,1565665
1,64,8,23,56,23,56,1,1636789
1,64,8,24,56,24,56,1,1707925
1,64,8,56,14,56,14,1,1010194
1,64,8,56,15,56,15,1,1081051
1,64,8,56,16,56,16,1,1151804
1,64,8,56,17,56,17,1,1222685
1,64,8,56,18,56,18,1,1293383
1,64,8,56,19,56,19,1,1364125
1,64,8,56,20,56,20,1,1434877
1,64,8,56,21,56,21,1,1505907
1,64,8,56,22,56,22,1,1576691
1,64,8,56,23,56,23,1,1647400
1,64,8,56,24,56,24,1,1718255
1,64,8,28,28,28,28,1,1001231
1,64,8,29,29,29,29,1,1073577
1,64,8,30,30,30,30,1,1148552
1,64,8,31,31,31,31,1,1225923
1,64,8,32,32,32,32,1,1305875
1,64,8,33,33,33,33,1,1388292
1,64,8,34,34,34,34,1,1473365
1,64,8,35,35,35,35,1,1561031
1,64,8,36,36,36,36,1,1651048
1,64,8,37,37,37,37,1,1743708
1,64,8,38,38,38,38,1,1838867
1,64,2,56,56,56,56,1,996768
1,64,16,14,56,14,56,1,1992756
1,64,16,15,56,15,56,1,2135035
1,64,16,16,56,16,56,1,2277296
1,64,16,17,56,17,56,1,2419548
1,64,16,18,56,18,56,1,2561814
1,64,16,19,56,19,56,1,2704037
1,64,16,20,56,20,56,1,2846312
1,64,16,21,56,21,56,1,2988537
1,64,16,22,56,22,56,1,3130783
1,64,16,23,56,23,56,1,3273028
1,64,16,24,56,24,56,1,3415264
1,64,16,56,14,56,14,1,2019932
1,64,16,56,15,56,15,1,2161647
1,64,16,56,16,56,16,1,2303115
1,64,16,56,17,56,17,1,2444838
1,64,16,56,18,56,18,1,2586257
1,64,16,56,19,56,19,1,2727776
1,64,16,56,20,56,20,1,2869208
1,64,16,56,21,56,21,1,3011352
1,64,16,56,22,56,22,1,3152855
1,64,16,56,23,56,23,1,3294257
1,64,16,56,24,56,24,1,3435987
1,64,16,28,28,28,28,1,2002007
1,64,16,29,29,29,29,1,2146684
1,64,16,30,30,30,30,1,2296724
1,64,16,31,31,31,31,1,2451360
1,64,16,32,32,32,32,1,2611274
1,64,16,33,33,33,33,1,2776052
1,64,16,34,34,34,34,1,2946210
1,64,16,35,35,35,35,1,3121559
1,64,16,36,36,36,36,1,3301503
1,64,16,37,37,37,37,1,3486804
1,64,16,38,38,38,38,1,3677126
1,64,4,56,56,56,56,1,1992521
1,128,16,14,56,14,56,1,2872747
1,128,16,15,56,15,56,1,3077841
1,128,16,16,56,16,56,1,3282730
1,128,16,17,56,17,56,1,3487862
